##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	DRR817419_forward.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4808641
Total Bases	726.1 Mbp
Sequences flagged as poor quality	0
Sequence length	151
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1105	15-19	0.026535699248299238
1105	20-24	0.0962416813203788
1105	25-29	0.0454606078120392
1105	30-34	0.03021610816895759
1105	35-39	0.07953384188159873
1105	40-44	0.07445716097686983
1105	45-49	0.08034578844389273
1105	50-54	0.08549859903573775
1105	55-59	0.06196151926645399
1105	60-64	0.06758145234532975
1105	65-69	0.06441913430712987
1105	70-74	0.06130109176626064
1105	75-79	-0.0019999011770792663
1105	80-84	0.04720130100482578
1105	85-89	0.059303952204352584
1105	90-94	0.029031190487842196
1105	95-99	0.03286528804743938
1105	100-104	0.07222381920406207
1105	105-109	0.05076903582347825
1105	110-114	-0.03387553925769993
1105	115-119	0.007758190401844445
1105	120-124	0.051648200488500606
1105	125-129	0.011529245153660383
1105	130-134	0.038656469696171314
1105	135-139	0.07705621264916829
1105	140-144	0.12195755176973933
1105	145-149	0.07566972152171303
1105	150-151	0.10673651839898213
1106	1	-0.387816270716975
1106	2	-0.20607845282112436
1106	3	-0.1527775459211611
1106	4	0.035593505399390324
1106	5	0.046583035529742745
1106	6	-0.2304991343441003
1106	7	-0.14952890872612556
1106	8	-0.26163197786751624
1106	9	0.014827729135909351
1106	10-14	-0.15730628930373314
1106	15-19	-0.020121082739620988
1106	20-24	0.015444317234717175
1106	25-29	-0.014327420743697417
1106	30-34	-0.0686493503702934
1106	35-39	0.06772055248017494
1106	40-44	-0.024729549621703484
1106	45-49	0.0031629218870676823
1106	50-54	-0.030271856757778437
1106	55-59	0.043214676872167956
1106	60-64	-0.01782986012034371
1106	65-69	-0.0057126614095110995
1106	70-74	-0.005481994450100558
1106	75-79	-0.07055014829404627
1106	80-84	-0.005335766540483178
1106	85-89	-0.011753708421672115
1106	90-94	-0.10089247782627098
1106	95-99	-0.031033668569797612
1106	100-104	-0.0562446047388363
1106	105-109	-0.08132541777344926
1106	110-114	-0.08305730751690277
1106	115-119	-0.04632857511160182
1106	120-124	-0.0984517445966091
1106	125-129	0.015540228130049627
1106	130-134	-0.023927824647593354
1106	135-139	0.02234122088641044
1106	140-144	-0.007583359817296298
1106	145-149	-0.06495630813232367
1106	150-151	0.09817254256152808
1107	1	-0.12063921867704863
1107	2	-0.16292181619612478
1107	3	-0.0381508056039479
1107	4	-0.22700999838542657
1107	5	0.01264348497036849
1107	6	-0.0760914074971808
1107	7	-0.09688599543780185
1107	8	0.07559385150871378
1107	9	-0.013248850205329177
1107	10-14	-0.012714328411739473
1107	15-19	-0.011150575261510198
1107	20-24	0.05718285779096988
1107	25-29	0.007016163367602246
1107	30-34	0.02785009509707237
1107	35-39	0.015376979136505042
1107	40-44	0.03970552698994112
1107	45-49	0.02184905641775714
1107	50-54	-0.020213819264924382
1107	55-59	-0.038260702955767556
1107	60-64	-0.07726822085727747
1107	65-69	-0.06649589837260805
1107	70-74	-0.05318256836445556
1107	75-79	-0.028078332549625884
1107	80-84	-0.014301966969036073
1107	85-89	-0.08401630923355441
1107	90-94	-0.16778580297620493
1107	95-99	-0.008834058357791719
1107	100-104	-0.09387422001162804
1107	105-109	-0.07270808835953346
1107	110-114	-0.07492129089169453
1107	115-119	-0.028555535088344186
1107	120-124	-0.02597271454417438
1107	125-129	0.017555388944508366
1107	130-134	-0.060284706774417884
1107	135-139	-0.0824078396384138
1107	140-144	-0.01034310182502196
1107	145-149	-4.087098508378517E-4
1107	150-151	-0.004930148267682455
1108	1	0.1320246260171558
1108	2	-0.013697858623018533
1108	3	-0.13305179329430672
1108	4	0.1040081822532457
1108	5	0.04722075673928572
1108	6	-0.029090969604908423
1108	7	0.1778346455067492
1108	8	0.10529754440026551
1108	9	0.02904019113494627
1108	10-14	0.077193065480472
1108	15-19	0.11628094325160276
1108	20-24	0.1071366358282475
1108	25-29	0.11051767977234306
1108	30-34	0.12402421404158304
1108	35-39	0.14516825048374926
1108	40-44	0.1090717184623955
1108	45-49	0.16045331532561846
1108	50-54	0.14263507546253607
1108	55-59	0.15426755731442654
1108	60-64	0.06850287500869001
1108	65-69	0.07468381586212303
1108	70-74	0.09277503717569147
1108	75-79	0.1200265669784315
1108	80-84	0.0577637493092098
1108	85-89	0.11614100762205481
1108	90-94	0.1407441764266295
1108	95-99	0.07882062303503545
1108	100-104	0.08985078363747334
1108	105-109	0.148555636319756
1108	110-114	0.11034282302517795
1108	115-119	0.19149020032741504
1108	120-124	0.09612462728752291
1108	125-129	0.16753917071197577
1108	130-134	0.18537772693356658
1108	135-139	0.15559715557721177
1108	140-144	0.13938848642648338
1108	145-149	0.14322968843651296
1108	150-151	0.2959383380846674
1109	1	0.03276904289060667
1109	2	-0.08152250709282782
1109	3	-0.01394509354244633
1109	4	0.06761446844017627
1109	5	0.11339114549032558
1109	6	-0.11180395554369937
1109	7	0.2175368787573717
1109	8	-0.030351752539360177
1109	9	0.02904019113494627
1109	10-14	0.018963123379556635
1109	15-19	0.0011444668248117296
1109	20-24	-0.06689148658696809
1109	25-29	-0.04961466100516532
1109	30-34	-0.05992946668628463
1109	35-39	-0.04010883801914389
1109	40-44	-0.04378187955249757
1109	45-49	0.018186979510893764
1109	50-54	-0.03073134306517744
1109	55-59	-0.05880109446390236
1109	60-64	-0.04398678586806426
1109	65-69	-0.010675985626704687
1109	70-74	-0.07860626968948736
1109	75-79	0.008198609989179317
1109	80-84	-0.030242867729661782
1109	85-89	-0.014876362104992324
1109	90-94	-0.031960538213560596
1109	95-99	-0.058813785567117804
1109	100-104	0.0018441665986017597
1109	105-109	-0.0731151659962137
1109	110-114	-0.09346197432801517
1109	115-119	-0.04076786418871592
1109	120-124	-0.11959084004084986
1109	125-129	-0.06935082101672663
1109	130-134	-0.045556929807546
1109	135-139	-0.036958675688296694
1109	140-144	-0.054490752614050564
1109	145-149	-0.03146013786621893
1109	150-151	0.20660831327077034
1110	1	0.044095288264415444
1110	2	0.09932712230871488
1110	3	0.15523214368282368
1110	4	0.03436827555188415
1110	5	0.10844044122245577
1110	6	0.07533266578176523
1110	7	0.14570739228224738
1110	8	-0.06321154899698911
1110	9	0.08514817283746368
1110	10-14	0.020814606276488234
1110	15-19	0.053765220740601194
1110	20-24	0.053876717816734754
1110	25-29	0.002312189320562652
1110	30-34	0.046532409872128255
1110	35-39	0.053600346342264515
1110	40-44	0.012261702744915226
1110	45-49	0.017774823318184474
1110	50-54	0.0894612916553541
1110	55-59	0.05038487693068561
1110	60-64	6.049722155694326E-4
1110	65-69	0.023681096999744966
1110	70-74	0.005116176924410354
1110	75-79	0.04018176954474484
1110	80-84	0.05100503174286075
1110	85-89	0.0473753228450704
1110	90-94	0.06257295853326639
1110	95-99	0.10530648837185907
1110	100-104	0.0028053277198694104
1110	105-109	0.030240244258187943
1110	110-114	0.07911716147222592
1110	115-119	0.013016908974442742
1110	120-124	0.07659872765801623
1110	125-129	0.03520483315041645
1110	130-134	0.09598169272942414
1110	135-139	0.14467340648534588
1110	140-144	0.09011489159131969
1110	145-149	0.03330151389803149
1110	150-151	0.0938127552197372
1111	1	-0.19146755000958393
1111	2	-0.09350204828896125
1111	3	0.1550864893140229
1111	4	-0.10054474561765403
1111	5	-0.042311830489154545
1111	6	-0.17344234787333335
1111	7	-0.11909754672497996
1111	8	0.04664627247709774
1111	9	0.15702992797260862
1111	10-14	0.0021374789778789705
1111	15-19	-0.026457498030609372
1111	20-24	-0.030697094189818586
1111	25-29	-0.012158439807002708
1111	30-34	-0.013525388429670215
1111	35-39	-0.0377450696830266
1111	40-44	0.03975648070476012
1111	45-49	-0.04826645645407268
1111	50-54	-0.026923169671746905
1111	55-59	-0.08937181406687955
1111	60-64	-0.03561582656622875
1111	65-69	-0.06402984528471478
1111	70-74	-0.1264812211589117
1111	75-79	-0.06416316648319054
1111	80-84	-0.07520686226047957
1111	85-89	-0.02338992534667028
1111	90-94	-0.049941598627803785
1111	95-99	-0.0971483173947334
1111	100-104	-0.11027277943539815
1111	105-109	-0.1001969505710747
1111	110-114	-0.06059662769308005
1111	115-119	0.020356829857632874
1111	120-124	0.032736635862661956
1111	125-129	0.01844080977951279
1111	130-134	-0.04788774799089879
1111	135-139	0.02897457999610964
1111	140-144	-0.019498230543185002
1111	145-149	-0.0049833397027754245
1111	150-151	-0.035066202689456816
1112	1	0.06082129374978251
1112	2	-0.011144955370227194
1112	3	-0.17727692913655346
1112	4	-0.1096854720550482
1112	5	0.05290406990037155
1112	6	-0.133603482473994
1112	7	0.09363741349075383
1112	8	-0.13886093529997368
1112	9	-0.08732470131793235
1112	10-14	6.518445936265493E-4
1112	15-19	-0.004545323046428962
1112	20-24	-0.016639232219581856
1112	25-29	-0.01368349224234322
1112	30-34	-0.026774647676603536
1112	35-39	-0.02357001891230226
1112	40-44	-0.03588596028468771
1112	45-49	-0.0380065769720872
1112	50-54	0.0016149666268177043
1112	55-59	-0.013156479645999752
1112	60-64	-0.01686987990045452
1112	65-69	-0.038729315937573006
1112	70-74	-0.058714133899869125
1112	75-79	9.527905031845307E-4
1112	80-84	-0.007464278114262868
1112	85-89	-0.050953796572152044
1112	90-94	-0.036041675200031875
1112	95-99	-0.02283889901074332
1112	100-104	-0.05421391869697345
1112	105-109	-0.12568338396988565
1112	110-114	-0.015626490861833986
1112	115-119	-0.05544354967427978
1112	120-124	-0.027409983307030927
1112	125-129	-0.02667847643415655
1112	130-134	0.03365701346996275
1112	135-139	-0.04546907283206991
1112	140-144	0.05749534404815648
1112	145-149	0.02503350618729172
1112	150-151	0.047408079029757744
1113	1	0.23205706383262736
1113	2	-0.13619572192827434
1113	3	-0.031873357072491615
1113	4	-0.07976478334131798
1113	5	-0.17356299873330272
1113	6	0.11946458342541177
1113	7	0.06448824062909608
1113	8	0.02197023720037805
1113	9	0.15527356847626805
1113	10-14	0.02787711771431134
1113	15-19	0.0402004230895443
1113	20-24	-0.027398618429828048
1113	25-29	0.00855192060693355
